[2025-03-03 09:34:04,984] DEBUG: Using proactor: IocpProactor
[2025-03-03 11:26:05,940] INFO: Data inserted for Inverter ID: 1308675217948200881
[2025-03-03 11:26:05,976] INFO: Data inserted for Inverter ID: 1308675217948200880
[2025-03-03 11:26:06,016] INFO: Data inserted for Inverter ID: 1308675217948200891
[2025-03-03 11:26:06,063] INFO: Data inserted for Inverter ID: 1308675217948200901
[2025-03-03 11:26:06,096] INFO: Data inserted for Inverter ID: 1308675217948200892
[2025-03-03 11:26:06,145] INFO: Data inserted for Inverter ID: 1308675217948200882
[2025-03-03 11:26:06,189] INFO: Data inserted for Inverter ID: 1308675217948200895
[2025-03-03 11:26:06,224] INFO: Data inserted for Inverter ID: 1308675217948200896
[2025-03-03 11:26:06,263] INFO: Data inserted for Inverter ID: 1308675217948200840
[2025-03-03 11:26:06,303] INFO: Data inserted for Inverter ID: 1308675217948200852
[2025-03-03 11:26:06,304] INFO: \u2705 Page 1 Success
[2025-03-03 11:26:06,304] INFO: \U0001f4c4 Fetching Page 2...
[2025-03-03 11:26:16,315] ERROR: \u23f0 Timeout Error on Page 2 | Retry 1/3
[2025-03-03 11:26:21,318] INFO: \U0001f501 Retrying...
[2025-03-03 11:26:21,318] INFO: \U0001f4c4 Fetching Page 2...
[2025-03-03 11:26:24,987] INFO: \u2705 Found 91 Inverters on Page 2
[2025-03-03 11:26:25,027] INFO: Data inserted for Inverter ID: 1308675217948200866
[2025-03-03 11:26:25,064] INFO: Data inserted for Inverter ID: 1308675217948200860
[2025-03-03 11:26:25,110] INFO: Data inserted for Inverter ID: 1308675217948200867
[2025-03-03 11:26:25,144] INFO: Data inserted for Inverter ID: 1308675217948200865
[2025-03-03 11:26:25,180] INFO: Data inserted for Inverter ID: 1308675217948200868
[2025-03-03 11:26:25,238] INFO: Data inserted for Inverter ID: 1308675217948200853
[2025-03-03 11:26:25,274] INFO: Data inserted for Inverter ID: 1308675217948200864
[2025-03-03 11:26:25,317] INFO: Data inserted for Inverter ID: 1308675217948200841
[2025-03-03 11:26:25,354] INFO: Data inserted for Inverter ID: 1308675217948193433
[2025-03-03 11:26:25,390] INFO: Data inserted for Inverter ID: 1308675217948172796
[2025-03-03 11:26:25,429] INFO: Data inserted for Inverter ID: 1308675217948156814
[2025-03-03 11:26:25,463] INFO: Data inserted for Inverter ID: 1308675217948156813
[2025-03-03 11:26:25,498] INFO: Data inserted for Inverter ID: 1308675217948156811
[2025-03-03 11:26:25,543] INFO: Data inserted for Inverter ID: 1308675217948156803
[2025-03-03 11:26:25,578] INFO: Data inserted for Inverter ID: 1308675217948156805
[2025-03-03 11:26:25,621] INFO: Data inserted for Inverter ID: 1308675217948156802
[2025-03-03 11:26:25,660] INFO: Data inserted for Inverter ID: 1308675217948156809
[2025-03-03 11:26:25,702] INFO: Data inserted for Inverter ID: 1308675217948156714
[2025-03-03 11:26:25,741] INFO: Data inserted for Inverter ID: 1308675217948156713
[2025-03-03 11:26:25,783] INFO: Data inserted for Inverter ID: 1308675217948156727
[2025-03-03 11:26:25,837] INFO: Data inserted for Inverter ID: 1308675217948156731
[2025-03-03 11:26:25,892] INFO: Data inserted for Inverter ID: 1308675217948156715
[2025-03-03 11:26:25,935] INFO: Data inserted for Inverter ID: 1308675217948156761
[2025-03-03 11:26:25,983] INFO: Data inserted for Inverter ID: 1308675217948156717
[2025-03-03 11:26:26,026] INFO: Data inserted for Inverter ID: 1308675217948156716
[2025-03-03 11:26:26,069] INFO: Data inserted for Inverter ID: 1308675217948156728
